in_degree,kclip_5_weak_SB_f20,cnt,mean,ci_lower,ci_upper
0,0.0,116135,0.6139288716032921,0.601043161768531,0.6267183621120214
1,1.0,33011,2.0911760556367054,2.045223798239947,2.1387792390367917
2,1.0,5562,0.9293469020191791,0.8506057705114742,1.0103965872411118
2,2.0,14915,3.922385104259469,3.825343969696103,4.018349842974631
3,1.0,438,2.0560045515466596,1.6449572081086807,2.4342472154381682
3,2.0,2806,2.777995763487754,2.5905036019647985,2.962382438846862
3,3.0,7526,5.934568516350249,5.764542179691376,6.1006489008105405
4,1.0,161,2.282873929390211,1.5210373985633252,2.9552952348388994
4,2.0,524,2.9771730062456037,2.5245864358247236,3.41147927632766
4,3.0,1853,4.770420986765059,4.472283710533065,5.078108781396454
4,4.0,4618,7.818246149401052,7.57966279138704,8.050569579021953
5,1.0,74,2.4659308007317917,1.3156108791382524,3.421482824219919
5,2.0,253,3.702264308595916,2.9760521216513487,4.405087866461674
5,3.0,484,5.191328029416472,4.5622917641747405,5.7928623514138495
5,4.0,1416,6.937277195994011,6.522714194029867,7.35007525018251
5,5.0,2902,9.69974411079138,9.370354034162585,10.028760665439158
6,1.0,44,2.20353724405761,0.7788957036584443,3.4069431339250857
6,2.0,105,4.9871791611089735,3.710930582474268,6.179787817754338
6,3.0,220,4.695753695814424,3.819634051181568,5.53479675950069
6,4.0,441,6.528015974275474,5.762248127930257,7.284974900750979
6,5.0,1036,7.960228193280796,7.421942853529494,8.502302240262221
6,6.0,2083,11.406871997570937,10.978567969604212,11.835161403285804
7,1.0,20,4.536973696586708,2.2786852817542345,6.596772627482259
7,2.0,66,3.422683506444065,2.0759302376462667,4.671171026313837
7,3.0,98,5.6631079949867384,4.359725832244398,6.916314003866037
7,4.0,208,6.98694228014997,5.833700284932547,8.070352418162626
7,5.0,380,8.177054489076662,7.350763693818299,9.016857318538023
7,6.0,796,10.631825116124963,9.951168556502138,11.293978336874687
7,7.0,1483,13.068196643697812,12.555162170536677,13.583083840118533
8,1.0,8,5.585000486113329,0.6798435764605024,9.96695394117403
8,2.0,29,4.036051215504614,1.6338404004201852,6.143312174926207
8,3.0,59,4.743756130890861,3.0953468109474516,6.310786516591335
8,4.0,117,6.318612395350314,4.845950131075339,7.710071158932134
8,5.0,227,7.659719257550892,6.477942677840884,8.797764228587022
8,6.0,365,10.123565288168438,9.135850284233578,11.106109165232219
8,7.0,664,11.811610342667555,11.021233208490333,12.595942543029375
8,8.0,1142,14.43972043333459,13.836611439432083,15.04647312674068
9,1.0,6,2.300642167000808,-2.3006421670008077,4.601284334001616
9,2.0,29,3.8118550380507563,1.3410796732572807,5.732637612665841
9,3.0,37,5.573584962894293,3.330107219198182,7.673673318586427
9,4.0,66,7.007561712174979,4.9837414505236115,8.907303275872726
9,5.0,118,7.623762258666274,6.01140496652865,9.1339885000554
9,6.0,189,10.831615836638024,9.408392462220522,12.184154265599087
9,7.0,256,10.40767991731786,9.208343440822599,11.561700785099182
9,8.0,480,14.043178939267442,13.044733476004208,15.005403276497944
9,9.0,824,16.5473315928709,15.831957561359765,17.247196918120405
10,1.0,12,6.491316463194284,1.7695911219946083,10.576326478835261
10,2.0,10,2.5382938209681614,-0.2505370788236849,5.076587641936323
10,3.0,30,4.44582849163304,1.4197282025078284,6.737250965295321
10,4.0,44,7.037316167603165,4.933428359989096,9.10188196605269
10,5.0,72,9.61812255393372,7.5211507878094235,11.662786368825596
10,6.0,105,9.459952522831852,7.845642725789764,11.045645909370688
10,7.0,137,10.919495501959227,9.318743058951899,12.510591958132203
10,8.0,255,12.181889739875391,10.862440273945303,13.441434356686557
10,9.0,485,14.90465933802517,13.945484927557391,15.861033022913507
10,10.0,663,15.99924084931347,15.201851953593977,16.768601489646088
