index,coeff,ci_lower,ci_upper,tvals,pvals,rsquare,rsquare_adj,ivs,dv
Intercept,-0.011340771132673726,-0.01165834833302045,-0.011023193932327001,-69.99122581263289,0.0,0.6991415982637889,0.6991390359240489,log_in_degree+log_weak_SD,social_status
log_in_degree,0.13611424899643085,0.11665952822692877,0.15556896976593293,13.712887684923993,8.830059135620461e-43,0.6991415982637889,0.6991390359240489,log_in_degree+log_weak_SD,social_status
log_weak_SD,0.7688080535699423,0.7501638400650408,0.7874522670748438,80.82099371964985,0.0,0.6991415982637889,0.6991390359240489,log_in_degree+log_weak_SD,social_status
Intercept,-0.009977578147263622,-0.010292468998836315,-0.00966268729569093,-62.1034066828741,0.0,0.7003368749440435,0.7003343227841919,log_in_degree+log_strong_SD,social_status
log_in_degree,-0.7511761630984095,-0.7893581919268483,-0.7129941342699707,-38.55965383034896,0.0,0.7003368749440435,0.7003343227841919,log_in_degree+log_strong_SD,social_status
log_strong_SD,1.672247240791438,1.634388010922183,1.7101064706606928,86.5723172316004,0.0,0.7003368749440435,0.7003343227841919,log_in_degree+log_strong_SD,social_status
Intercept,-0.010982172935287382,-0.011300182753091493,-0.010664163117483272,-67.68588000412596,0.0,0.7001620877869213,0.700159534138449,log_weak_SD+log_strong_SD,social_status
log_weak_SD,0.4849491741864626,0.4590714306405745,0.5108269177323507,36.729934086073136,1.680252088261891e-294,0.7001620877869213,0.700159534138449,log_weak_SD+log_strong_SD,social_status
log_strong_SD,0.4293697900003223,0.40259536746095853,0.4561442125396861,31.43125349366483,2.1386166121638113e-216,0.7001620877869213,0.700159534138449,log_weak_SD+log_strong_SD,social_status
Intercept,-0.010637947461664396,-0.010956283533586053,-0.01031961138974274,-65.49713714301824,0.0,0.7012008817937074,0.7011970645754874,log_in_degree+log_weak_SD+log_strong_SD,social_status
log_in_degree,-0.584944037094447,-0.6250688293276565,-0.5448192448612375,-28.572737478464695,2.9810160868939764e-179,0.7012008817937074,0.7011970645754874,log_in_degree+log_weak_SD+log_strong_SD,social_status
log_weak_SD,0.36145062175179893,0.33426410424872527,0.3886371392548726,26.058278783382473,1.7718244155325742e-149,0.7012008817937074,0.7011970645754874,log_in_degree+log_weak_SD+log_strong_SD,social_status
log_strong_SD,1.1353782856457848,1.0800629302367013,1.1906936410548683,40.229552932936215,0.0,0.7012008817937074,0.7011970645754874,log_in_degree+log_weak_SD+log_strong_SD,social_status
