gender,cnt,mean,ci_lower,ci_upper
-1,87213,2.4389364118174277,2.3909603612239714,2.4866182674203228
0,80071,6.297128787822955,6.212940422652213,6.381785198416577
1,67550,9.097772174884003,8.986802509489927,9.207595453479442
