index,coeff,ci_lower,ci_upper,tvals,pvals,rsquare,rsquare_adj,ivs,dv
Intercept,-0.011084629616113135,-0.011400523178986413,-0.010768736053239856,-68.77502222380419,0.0,0.7005818271110895,0.700580552079693,log_sd_kclip_5,social_status
log_sd_kclip_5,0.9237982741658031,0.9213556396946825,0.9262409086369237,741.2573186873865,0.0,0.7005818271110895,0.700580552079693,log_sd_kclip_5,social_status
Intercept,-0.01114223933185967,-0.01145820989554261,-0.01082626876817673,-69.11561666661535,0.0,0.7007418194329385,0.7007392707219031,log_in_degree+log_sd_kclip_5,social_status
log_in_degree,-0.136012701550397,-0.1598044044346531,-0.11222099866614088,-11.204804119647852,3.928447381470456e-29,0.7007418194329385,0.7007392707219031,log_in_degree+log_sd_kclip_5,social_status
log_sd_kclip_5,1.0569714431783233,1.0335487933202514,1.080394093036395,88.44586976655239,0.0,0.7007418194329385,0.7007392707219031,log_in_degree+log_sd_kclip_5,social_status
Intercept,-0.010977086434025365,-0.011294522799153245,-0.010659650068897485,-67.77674936105844,0.0,0.7006387131554088,0.7006361635662417,log_weak_SD+log_sd_kclip_5,social_status
log_weak_SD,-0.19858707148657795,-0.2568535187165456,-0.14032062425661027,-6.680096909233012,2.3931348519248013e-11,0.7006387131554088,0.7006361635662417,log_weak_SD+log_sd_kclip_5,social_status
log_sd_kclip_5,1.1276341158369838,1.067777801608615,1.1874904300653526,36.923984958463805,1.3719042244407387e-297,0.7006387131554088,0.7006361635662417,log_weak_SD+log_sd_kclip_5,social_status
Intercept,-0.010951848217765226,-0.011268620494946405,-0.010635075940584047,-67.76268080813792,0.0,0.7007249239484692,0.7007223750935391,log_strong_SD+log_sd_kclip_5,social_status
log_strong_SD,0.18631482106230743,0.151852837046,0.22077680507861486,10.596378347338474,3.140027166157624e-26,0.7007249239484692,0.7007223750935391,log_strong_SD+log_sd_kclip_5,social_status
log_sd_kclip_5,0.7392813468040105,0.7050646563308108,0.7734980372772101,42.34694420834484,0.0,0.7007249239484692,0.7007223750935391,log_strong_SD+log_sd_kclip_5,social_status
